Expense Name,Category,Cost,Period,Total Cost,Method ,Draft Day,Notes,,,
Groceries,Food,$350.00,Weekly,"$1,400.00",Credit,,,Total Cash Cost:,"$5,088.56",
Resturants,Food,$150.00,Weekly,$600.00,Credit,,,Total Credit Cost:,"$4,284.34",
Mortgage,Living,"$2,536.09",Monthly,"$2,536.09",Cash,1,,Total Monthly Cost:,"$9,372.90",
HOA,Living,$68.00,Monthly,$68.00,Cash,6,,,,
Diesel Food,Living,$120.00,Weekly,$480.00,Credit,,,Income /bi-weekly,"$5,460.85",
,,,,,,,,Income monthly (x2),"$10,921.70",
Phone,Utilities,$188.16,Monthly,$188.16,Cash,21,,Extra,"$1,548.80",
Internet,Utilities,$73.00,Monthly,$73.00,Credit,,,Early Cash,"$3,599.39",Needed prior to the 17th of the month
Electricity,Utilities,In City Bill,,0,Cash,29,,Leftover,"$5,773.51",Needed after the 17th
Natural Gas,Utilities,$50.00,Monthly,$50.00,Cash,9,,,,
Water Bill,Utilities,$40.00,Monthly,$40.00,Credit,,,,,
City Bill,Utilities,$350.00,Monthly,$350.00,Cash,29,,,,
Car Gas,Misc,$130.00,Weekly,$520.00,Credit,,,,,
,,,,,,,,,,
Car Insurance,Insurance,$225.00,Monthly,$225.00,Credit,,,,,
Life Insurance,Insurance,$250.00,Monthly,$250.00,Cash,1,,,,
Family Chiropractic,Insurance,$45.00,Weekly,$180.00,Credit,,TODO,,,
,,,,,,,,,,
Heart and Soil,Subscriptions,$94.00,Monthly,$94.00,Credit,,,,,
Daily Wire,Subscriptions,$259.80,Yearly,$21.65,Credit,,,,,
Geico Identity Protection,Subscriptions,$7.99,Monthly,$7.99,Credit,,,,,
Wyze,Subscriptions,$2.99,Monthly,$2.99,Credit,,,,,
Ring,Subscriptions,$108.00,Yearly,$9.00,Credit,,,,,
Discovery +,Subscriptions,$5.40,Monthly,$5.40,Credit,,,,,
Sound Cloud,Subscriptions,$6.48,Monthly,$6.48,Credit,,,,,
Spotify - Ian,Subscriptions,$10.81,Monthly,$10.81,Credit,,,,,
Apple Music,Subscriptions,$9.99,Monthly,$9.99,Credit,,,,,
BJJ,Subscriptions,$150.00,Monthly,$150.00,Credit,,,,,
Sam's Club,Subscriptions,$50.00,Yearly,$4.17,Credit,,,,,
Apple Cloud - Nat,Subscriptions,$5.40,Monthly,$5.40,Credit,,,,,
Apple Cloud - Ian,Subscriptions,$9.99,Monthly,$9.99,Credit,,,,,
Hoffman Welding Tank,Subscriptions,$8.99,Monthly,$8.99,Credit,,,,,
Google Domains,Subscriptions,$60.00,Yearly,$5.00,Credit,,,,,
Apple Care,Subscriptions,$4.32,Monthly,$4.32,Credit,,,$356.18,,
,,,,,,,,,,
Platinum AE,Credit Card,$695.00,Yearly,$57.92,Credit,,,,,
Sapphire - Ian,Credit Card,$795.00,Yearly,$66.25,Credit,,,,,
Marriot,Credit Card,$95.00,Yearly,$7.92,Credit,,,,,
Southwest - Ian,Credit Card,$169.00,Yearly,$14.08,Credit,,,,,
Southwest - Natalie,Credit Card,$69.00,Yearly,$5.75,Credit,,,,,
Sapphire - Natalie,Credit Card,$99.00,Yearly,$8.25,Credit,,,,,
,,,,,,,,,,
ADA,Investment,$30.00,Bi-Monthly,$60.00,Cash,1,and 15th,,,
Doge,Investment,$5.00,Weekly,$20.00,Cash,1,,,,
Shiba,Investment,$5.00,Weekly,$20.00,Cash,1,,,,
SOL,Investment,$20.00,Weekly,$80.00,Cash,1,,,,
Helium,Investment,$5.00,Weekly,$20.00,Cash,1,,,,
,,,,,,,,,,
Truck Payment,Loan,$451.01,Monthly,$451.01,Cash,29,,,,
Levi Birth,Loan,$250.00,Monthly,$250.00,Credit,,,,,
401K Loan,Loan,$495.30,Monthly,$495.30,Cash,15,Auto transfer from savings to checking,,,
Savings,Investment,$500.00,Monthly,$500.00,Cash,31,Auto transfer from wells to frost,,,
